region_code,region_code_stmf,region_code_coverage,region_name,region_level,country_name,hemisphere,continent,pseudom49
AT,AUT,Austria,Austria,0,Austria,n,Europe,Western Europe
AU,AUS2,Australia,Australia,0,Australia,s,Oceania,Australia
BE,BEL,Belgium,Belgium,0,Belgium,n,Europe,Western Europe
BG,BGR,Bulgaria,Bulgaria,0,Bulgaria,n,Europe,Eastern Europe
CA,CAN,Canada,Canada,0,Canada,n,North America,Canada
CH,CHE,Switzerland,Switzerland,0,Switzerland,n,Europe,Western Europe
CL,CHL,Chile,Chile,0,Chile,s,South America,Chile
CZ,CZE,Czechia,Czech Republic,0,Czech Republic,n,Europe,Eastern Europe
DE,DEUTNP,Germany,Germany,0,Germany,n,Europe,Western Europe
DK,DNK,Denmark,Denmark,0,Denmark,n,Europe,Northern Europe
EE,EST,Estonia,Estonia,0,Estonia,n,Europe,Northern Europe
ES,ESP,Spain,Spain,0,Spain,n,Europe,Southern Europe
FI,FIN,Finland,Finland,0,Finland,n,Europe,Northern Europe
FR,FRATNP,France,France,0,France,n,Europe,Western Europe
GB-EAW,GBRTENW,England and Wales,England and Wales,1,Great Britain,n,Europe,Northern Europe
GB-NIR,GBR_NIR,Northern Ireland,Northern Ireland,1,Great Britain,n,Europe,Northern Europe
GB-SCT,GBR_SCO,Scotland,Scotland,1,Great Britain,n,Europe,Northern Europe
GR,GRC,Greece,Greece,0,Greece,n,Europe,Southern Europe
HR,HRV,Croatia,Croatia,0,Croatia,n,Europe,Southern Europe
HU,HUN,Hungary,Hungary,0,Hungary,n,Europe,Eastern Europe
IL,ISR,Israel,Israel,0,Israel,n,Asia,Israel
IS,ISL,Iceland,Iceland,0,Iceland,n,Europe,Northern Europe
IT,ITA,Italy,Italy,0,Italy,n,Europe,Southern Europe
KR,KOR,South Korea,South Korea,0,South Korea,n,Asia,South Korea
LT,LTU,Lithuania,Lithuania,0,Lithuania,n,Europe,Northern Europe
LU,LUX,Luxembourg,Luxembourg,0,Luxembourg,n,Europe,Western Europe
LV,LVA,Latvia,Latvia,0,Latvia,n,Europe,Northern Europe
NL,NLD,Netherlands,Netherlands,0,Netherlands,n,Europe,Western Europe
NO,NOR,Norway,Norway,0,Norway,n,Europe,Northern Europe
NZ,NZL_NP,New Zealand,New Zealand,0,New Zealand,s,Oceania,New Zealand
PL,POL,Poland,Poland,0,Poland,n,Europe,Eastern Europe
PT,PRT,Portugal,Portugal,0,Portugal,n,Europe,Southern Europe
RU,RUS,Russia,Russia,0,Russia,n,Asia,Eastern Europe
SE,SWE,Sweden,Sweden,0,Sweden,n,Europe,Northern Europe
SI,SVN,Slovenia,Slovenia,0,Slovenia,n,Europe,Southern Europe
SK,SVK,Slovakia,Slovakia,0,Slovakia,n,Europe,Eastern Europe
TW,TWN,Taiwan ,Taiwan ,0,Taiwan ,n,Asia,Taiwan
US,USA,USA,USA,0,USA,n,North America,United States
